ds,y
2017-01-01,1570.0
2017-02-01,2391.0
2017-03-01,2482.0
2017-04-01,1317.0
2017-05-01,2184.0
2017-06-01,1161.0
2017-07-01,697.0
2017-08-01,2651.0
2017-09-01,599.0
2017-10-01,672.0
2017-11-01,1432.0
2017-12-01,1472.0
2018-01-01,706.0
2018-02-01,1326.0
2018-03-01,1697.0
2018-04-01,8167.0
2018-05-01,1085.0
2018-06-01,3806.0
2018-07-01,2271.0
2018-08-01,1882.0
2018-09-01,3536.0
2018-10-01,1787.0
2018-11-01,1857.0
2018-12-01,2580.0
2019-01-01,2564.0
2019-02-01,1776.0
2019-03-01,8362.0
2019-04-01,868.0
2019-05-01,4529.295535183909
2019-06-01,1205.0
2019-07-01,760.0
2019-08-01,638.0
2019-09-01,837.0
2019-10-01,995.0
2019-11-01,1824.0
2019-12-01,781.0
2020-01-01,2022.0
2020-02-01,765.0
2020-03-01,8281.0
2020-04-01,513.0
2020-05-01,3545.0
2020-06-01,359.0
2020-07-01,2896.0
2020-08-01,2844.0
2020-09-01,6414.0
2020-10-01,689.0
2020-11-01,770.0
2020-12-01,3672.0
