ds,y
2017-01-01,705.0
2017-02-01,967.0
2017-03-01,1598.0
2017-04-01,1116.0
2017-05-01,3591.0
2017-06-01,1858.0
2017-07-01,686.0
2017-08-01,4414.0
2017-09-01,1498.0
2017-10-01,1187.0
2017-11-01,2810.0
2017-12-01,1105.0
2018-01-01,1630.0
2018-02-01,6038.0
2018-03-01,4818.0
2018-04-01,907.0
2018-05-01,895.0
2018-06-01,2829.0
2018-07-01,1333.0
2018-08-01,5286.0
2018-09-01,3479.0
2018-10-01,1628.0
2018-11-01,3735.0
2018-12-01,1045.0
2019-01-01,2383.0
2019-02-01,1485.0
2019-03-01,1885.0
2019-04-01,365.0
2019-05-01,2383.0
2019-06-01,1152.0
2019-07-01,810.0
2019-08-01,953.0
2019-09-01,1449.0
2019-10-01,409.0
2019-11-01,1516.0
2019-12-01,2321.0
2020-01-01,1583.0
2020-02-01,809.0
2020-03-01,2272.0
2020-04-01,-2756.0
2020-05-01,784.0
2020-06-01,329.0
2020-07-01,4009.0
2020-08-01,2387.0
2020-09-01,522.0
2020-10-01,917.0
2020-11-01,1471.0
2020-12-01,655.0
