ds,y
2017-01-01,971.0
2017-02-01,771.0
2017-03-01,5424.0
2017-04-01,677.0
2017-05-01,712.0
2017-06-01,1313.0
2017-07-01,511.0
2017-08-01,510.0
2017-09-01,10966.0
2017-10-01,1417.0
2017-11-01,1217.0
2017-12-01,292.0
2018-01-01,1617.0
2018-02-01,3354.0
2018-03-01,4733.0
2018-04-01,2296.0
2018-05-01,651.0
2018-06-01,2644.0
2018-07-01,1149.0
2018-08-01,3676.0
2018-09-01,1923.0
2018-10-01,5457.0
2018-11-01,-1495.0
2018-12-01,1319.0
2019-01-01,1358.0
2019-02-01,306.0
2019-03-01,603.0
2019-04-01,582.0
2019-05-01,651.0
2019-06-01,509.0
2019-07-01,332.0
2019-08-01,538.0
2019-09-01,1889.0
2019-10-01,2858.0
2019-11-01,3164.0
2019-12-01,1660.0
2020-01-01,872.0
2020-02-01,2822.0
2020-03-01,910.0
2020-04-01,2493.0
2020-05-01,6090.0
2020-06-01,470.0
2020-07-01,1783.0
2020-08-01,1864.0
2020-09-01,890.0
2020-10-01,472.0
2020-11-01,2199.0
2020-12-01,1297.0
