ds,y
2017-01-01,1054.0
2017-02-01,2800.0
2017-03-01,744.0
2017-04-01,661.0
2017-05-01,1987.0
2017-06-01,3286.0
2017-07-01,650.0
2017-08-01,2816.0
2017-09-01,676.0
2017-10-01,1917.0
2017-11-01,2092.0
2017-12-01,4939.0
2018-01-01,1732.0
2018-02-01,1086.0
2018-03-01,1466.0
2018-04-01,1864.0
2018-05-01,2071.0
2018-06-01,5016.0
2018-07-01,2092.0
2018-08-01,6127.0
2018-09-01,278.0
2018-10-01,3882.0
2018-11-01,3302.0
2018-12-01,2794.0
2019-01-01,5708.0
2019-02-01,1493.0
2019-03-01,15417.0
2019-04-01,1458.0
2019-05-01,5121.0
2019-06-01,679.0
2019-07-01,2928.0
2019-08-01,339.0
2019-09-01,5259.0
2019-10-01,825.0
2019-11-01,-209.0
2019-12-01,924.0
2020-01-01,2142.0
2020-02-01,3193.0
2020-03-01,3370.0
2020-04-01,895.0
2020-05-01,2298.0
2020-06-01,1382.0
2020-07-01,1812.0
2020-08-01,1897.0
2020-09-01,1113.0
2020-10-01,810.0
2020-11-01,422.0
2020-12-01,1515.0
