ds,y
2017-01-01,643.0
2017-02-01,2533.0
2017-03-01,1622.0
2017-04-01,1820.0
2017-05-01,3553.0
2017-06-01,1881.0
2017-07-01,1179.0
2017-08-01,916.0
2017-09-01,2529.0
2017-10-01,723.0
2017-11-01,851.0
2017-12-01,676.0
2018-01-01,4062.0
2018-02-01,2412.0
2018-03-01,3814.0
2018-04-01,1075.0
2018-05-01,3020.0
2018-06-01,3092.0
2018-07-01,1974.0
2018-08-01,1046.0
2018-09-01,2320.0
2018-10-01,1594.0
2018-11-01,1935.0
2018-12-01,1847.0
2019-01-01,569.0
2019-02-01,1912.0
2019-03-01,2316.0
2019-04-01,825.0
2019-05-01,4126.0
2019-06-01,668.0
2019-07-01,3843.0
2019-08-01,1133.0
2019-09-01,246.0
2019-10-01,607.0
2019-11-01,2397.0
2019-12-01,369.0
2020-01-01,1762.0
2020-02-01,1018.0
2020-03-01,4856.0
2020-04-01,2434.0
2020-05-01,1159.0
2020-06-01,1237.0
2020-07-01,2152.0
2020-08-01,708.0
2020-09-01,10158.0
2020-10-01,1540.0
2020-11-01,2259.0
2020-12-01,3414.0
