ds,y
2017-01-01,2373.0
2017-02-01,1231.0
2017-03-01,1871.0
2017-04-01,2868.0
2017-05-01,6029.0
2017-06-01,5575.0
2017-07-01,5744.0
2017-08-01,2264.0
2017-09-01,2211.0
2017-10-01,1490.0
2017-11-01,5094.0
2017-12-01,2382.0
2018-01-01,27027.0
2018-02-01,2388.0
2018-03-01,7739.0
2018-04-01,1960.0
2018-05-01,1556.0
2018-06-01,6193.0
2018-07-01,2369.0
2018-08-01,9949.0
2018-09-01,1443.0
2018-10-01,4740.0
2018-11-01,875.0
2018-12-01,600.0
2019-01-01,276.0
2019-02-01,1093.0
2019-03-01,935.0
2019-04-01,2038.0
2019-05-01,536.0
2019-06-01,1326.0
2019-07-01,3385.0
2019-08-01,118078.0
2019-09-01,2537.0
2019-10-01,2339.0
2019-11-01,197.0
2019-12-01,10217.0
2020-01-01,1423.0
2020-02-01,23.0
2020-03-01,1515.0
2020-04-01,-781.0
2020-05-01,2167.0
2020-06-01,388.0
2020-07-01,4478.0
2020-08-01,2152.0
2020-09-01,1895.0
2020-10-01,1206.0
2020-11-01,1803.0
2020-12-01,2764.0
