ds,y
2017-01-01,384.0
2017-02-01,3053.0
2017-03-01,2350.0
2017-04-01,4331.0
2017-05-01,2353.0
2017-06-01,2926.0
2017-07-01,1955.0
2017-08-01,1775.0
2017-09-01,2976.0
2017-10-01,630.0
2017-11-01,1600.0
2017-12-01,1693.0
2018-01-01,1500.0
2018-02-01,2519.0
2018-03-01,1325.0
2018-04-01,4333.0
2018-05-01,1023.0
2018-06-01,2339.0
2018-07-01,1820.0
2018-08-01,6376.0
2018-09-01,6497.0
2018-10-01,3658.0
2018-11-01,2449.0
2018-12-01,1027.0
2019-01-01,1400.0
2019-02-01,1438.0
2019-03-01,4305.0
2019-04-01,1286.0
2019-05-01,3533.555910543131
2019-06-01,1664.0
2019-07-01,311.0
2019-08-01,1900.0
2019-09-01,754.0
2019-10-01,531.0
2019-11-01,1955.0
2019-12-01,1575.0
2020-01-01,2705.0
2020-02-01,87.0
2020-03-01,2354.0
2020-04-01,2045.0
2020-05-01,-3607.0
2020-06-01,942.0
2020-07-01,798.0
2020-08-01,290.0
2020-09-01,3128.0
2020-10-01,760.0
2020-11-01,880.0
2020-12-01,1544.0
