ds,y
2017-01-01,1190.0
2017-02-01,1261.0
2017-03-01,4493.0
2017-04-01,3396.0
2017-05-01,4621.0
2017-06-01,20291.0
2017-07-01,1507.0
2017-08-01,2522.0
2017-09-01,1015.0
2017-10-01,2440.0
2017-11-01,1362.0
2017-12-01,1485.0
2018-01-01,1659.0
2018-02-01,960.0
2018-03-01,4956.0
2018-04-01,2836.0
2018-05-01,3125.0
2018-06-01,2417.0
2018-07-01,2307.0
2018-08-01,8297.0
2018-09-01,4323.0
2018-10-01,2444.0
2018-11-01,1347.0
2018-12-01,2372.0
2019-01-01,2580.0
2019-02-01,3676.0
2019-03-01,648.0
2019-04-01,535.0
2019-05-01,919.0
2019-06-01,1850.0
2019-07-01,8314.0
2019-08-01,3227.0
2019-09-01,359.0
2019-10-01,1161.0
2019-11-01,740.0
2019-12-01,781.0
2020-01-01,424.0
2020-02-01,746.0
2020-03-01,791.0
2020-04-01,1462.0
2020-05-01,342.0
2020-06-01,2213.0
2020-07-01,3017.0
2020-08-01,1616.0
2020-09-01,1527.0
2020-10-01,566.0
2020-11-01,3920.0
2020-12-01,3501.0
