ds,y
2017-01-01,3186.0
2017-02-01,910.0
2017-03-01,1687.0
2017-04-01,1032.0
2017-05-01,1327.0
2017-06-01,1288.0
2017-07-01,745.0
2017-08-01,1444.0
2017-09-01,941.0
2017-10-01,1976.0
2017-11-01,1992.0
2017-12-01,2446.0
2018-01-01,978.0
2018-02-01,970.0
2018-03-01,2054.0
2018-04-01,566.0
2018-05-01,1042.0
2018-06-01,9244.0
2018-07-01,2213.0
2018-08-01,1961.0
2018-09-01,1930.0
2018-10-01,747.0
2018-11-01,1200.0
2018-12-01,219.0
2019-01-01,216.0
2019-02-01,1172.0
2019-03-01,773.0
2019-04-01,524.0
2019-05-01,24621.0
2019-06-01,1818.0
2019-07-01,1668.0
2019-08-01,3491.0
2019-09-01,4630.0
2019-10-01,729.0
2019-11-01,2317.0
2019-12-01,342.0
2020-01-01,1723.0
2020-02-01,1875.0
2020-03-01,4550.0
2020-04-01,167.0
2020-05-01,329.0
2020-06-01,2362.0
2020-07-01,711.0
2020-08-01,2303.0
2020-09-01,1331.0
2020-10-01,838.0
2020-11-01,2720.0
2020-12-01,6370.0
