ds,y
2017-01-01,3525.0
2017-02-01,1439.0
2017-03-01,2056.0
2017-04-01,1265.0
2017-05-01,1520.0
2017-06-01,1890.0
2017-07-01,1933.0
2017-08-01,1611.0
2017-09-01,2342.0
2017-10-01,4868.0
2017-11-01,2872.0
2017-12-01,802.0
2018-01-01,1519.0
2018-02-01,3351.0
2018-03-01,1579.0
2018-04-01,801.0
2018-05-01,1514.0
2018-06-01,1514.0
2018-07-01,2326.0
2018-08-01,1759.0
2018-09-01,993.0
2018-10-01,8041.0
2018-11-01,1858.0
2018-12-01,1943.0
2019-01-01,344.0
2019-02-01,1077.0
2019-03-01,1402.0
2019-04-01,626.0
2019-05-01,602.0
2019-06-01,3534.0
2019-07-01,1511.0
2019-08-01,2325.0
2019-09-01,686.0
2019-10-01,7147.0
2019-11-01,726.0
2019-12-01,1675.0
2020-01-01,840.0
2020-02-01,2475.0
2020-03-01,2255.0
2020-04-01,981.0
2020-05-01,1258.0
2020-06-01,1177.0
2020-07-01,2197.0
2020-08-01,3216.0
2020-09-01,1351.0
2020-10-01,2337.0
2020-11-01,741.0
2020-12-01,2568.0
