ds,y
2017-01-01,1335.0
2017-02-01,387.0
2017-03-01,455.0
2017-04-01,2719.0
2017-05-01,1010.0
2017-06-01,4227.0
2017-07-01,4007.0
2017-08-01,1919.0
2017-09-01,5172.0
2017-10-01,3805.0
2017-11-01,2921.0
2017-12-01,2810.0
2018-01-01,1485.0
2018-02-01,941.0
2018-03-01,2775.0
2018-04-01,1682.0
2018-05-01,2039.0
2018-06-01,1419.0
2018-07-01,2379.0
2018-08-01,1119.0
2018-09-01,4071.0
2018-10-01,3066.0
2018-11-01,18292.0
2018-12-01,1908.0
2019-01-01,1007.0
2019-02-01,340.0
2019-03-01,1507.0
2019-04-01,1240.0
2019-05-01,1117.0
2019-06-01,2674.0
2019-07-01,312.0
2019-08-01,2425.0
2019-09-01,1181.0
2019-10-01,916.0
2019-11-01,306.0
2019-12-01,1519.0
2020-01-01,302.0
2020-02-01,1084.0
2020-03-01,1863.0
2020-04-01,1867.0
2020-05-01,2420.0
2020-06-01,5756.0
2020-07-01,1939.0
2020-08-01,502.0
2020-09-01,3523.0
2020-10-01,418.0
2020-11-01,2600.0
2020-12-01,3008.0
