ds,y
2017-01-01,4280.0
2017-02-01,1049.0
2017-03-01,2091.0
2017-04-01,2294.0
2017-05-01,6630.0
2017-06-01,1161.0
2017-07-01,5629.0
2017-08-01,412.0
2017-09-01,1241.0
2017-10-01,558.0
2017-11-01,1505.0
2017-12-01,283.0
2018-01-01,1240.0
2018-02-01,3881.0
2018-03-01,2177.0
2018-04-01,1360.0
2018-05-01,1488.0
2018-06-01,1780.0
2018-07-01,3291.0
2018-08-01,3064.0
2018-09-01,6831.0
2018-10-01,2482.0
2018-11-01,2882.0
2018-12-01,776.0
2019-01-01,817.0
2019-02-01,1080.0
2019-03-01,1920.0
2019-04-01,1892.0
2019-05-01,3734.0
2019-06-01,927.0
2019-07-01,537.0
2019-08-01,10927.0
2019-09-01,1827.0
2019-10-01,905.0
2019-11-01,1362.0
2019-12-01,2412.0
2020-01-01,3111.0
2020-02-01,670.0
2020-03-01,577.0
2020-04-01,1603.0
2020-05-01,316.0
2020-06-01,888.0
2020-07-01,2144.0
2020-08-01,1944.0
2020-09-01,1529.0
2020-10-01,2804.0
2020-11-01,930.0
2020-12-01,2446.0
