ds,y
2017-01-01,1003.0
2017-02-01,1320.0
2017-03-01,922.0
2017-04-01,433.0
2017-05-01,518.0
2017-06-01,1266.0
2017-07-01,3522.0
2017-08-01,2698.0
2017-09-01,2289.0
2017-10-01,1983.0
2017-11-01,878.0
2017-12-01,1411.0
2018-01-01,714.0
2018-02-01,5795.0
2018-03-01,3806.0
2018-04-01,2031.0
2018-05-01,1603.0
2018-06-01,2203.0
2018-07-01,1110.0
2018-08-01,897.0
2018-09-01,3492.0
2018-10-01,2243.0
2018-11-01,2362.0
2018-12-01,592.0
2019-01-01,3026.0
2019-02-01,1298.0
2019-03-01,9449.0
2019-04-01,1702.0
2019-05-01,3183.0
2019-06-01,1315.0
2019-07-01,1665.0
2019-08-01,2277.0
2019-09-01,2205.0
2019-10-01,742.0
2019-11-01,5543.0
2019-12-01,3341.0
2020-01-01,1631.0
2020-02-01,848.0
2020-03-01,1701.0
2020-04-01,3975.0
2020-05-01,1033.0
2020-06-01,378.0
2020-07-01,1884.0
2020-08-01,3045.0
2020-09-01,3756.0
2020-10-01,1415.0
2020-11-01,4513.0
2020-12-01,1611.0
