ds,y
2017-01-01,1398.0
2017-02-01,4895.0
2017-03-01,673.0
2017-04-01,1187.0
2017-05-01,2690.0
2017-06-01,107.0
2017-07-01,2984.0
2017-08-01,2511.0
2017-09-01,1752.0
2017-10-01,8966.0
2017-11-01,3069.0
2017-12-01,964.0
2018-01-01,1280.0
2018-02-01,1149.0
2018-03-01,1454.0
2018-04-01,1504.0
2018-05-01,2899.0
2018-06-01,2859.0
2018-07-01,823.0
2018-08-01,1086.0
2018-09-01,1065.0
2018-10-01,2454.0
2018-11-01,594.0
2018-12-01,461.0
2019-01-01,259.0
2019-02-01,2494.0
2019-03-01,1525.0
2019-04-01,2529.0
2019-05-01,2482.0
2019-06-01,5124.0
2019-07-01,3037.0
2019-08-01,1051.0
2019-09-01,711.0
2019-10-01,465.0
2019-11-01,749.0
2019-12-01,879.0
2020-01-01,1883.0
2020-02-01,5158.0
2020-03-01,545.0
2020-04-01,596.0
2020-05-01,1657.0
2020-06-01,2455.0
2020-07-01,3439.0
2020-08-01,701.0
2020-09-01,1795.0
2020-10-01,2838.0
2020-11-01,2591.0
2020-12-01,2401.0
