ds,y
2017-01-01,4248.0
2017-02-01,584.0
2017-03-01,3325.0
2017-04-01,991.0
2017-05-01,5926.0
2017-06-01,1616.0
2017-07-01,2117.0
2017-08-01,7595.0
2017-09-01,1769.0
2017-10-01,4994.0
2017-11-01,1313.0
2017-12-01,4655.0
2018-01-01,788.0
2018-02-01,3400.0
2018-03-01,3520.0
2018-04-01,3445.0
2018-05-01,1675.0
2018-06-01,2287.0
2018-07-01,1741.0
2018-08-01,916.0
2018-09-01,1078.0
2018-10-01,4264.0
2018-11-01,3118.0
2018-12-01,1210.0
2019-01-01,668.0
2019-02-01,1125.0
2019-03-01,2277.0
2019-04-01,1633.0
2019-05-01,3185.0
2019-06-01,1005.0
2019-07-01,2845.0
2019-08-01,2627.0
2019-09-01,281.0
2019-10-01,1054.0
2019-11-01,3157.0
2019-12-01,24259.0
2020-01-01,2504.0
2020-02-01,603.0
2020-03-01,1291.0
2020-04-01,2374.0
2020-05-01,3046.0
2020-06-01,3589.0
2020-07-01,998.0
2020-08-01,1749.0
2020-09-01,4312.0
2020-10-01,1897.0
2020-11-01,2352.0
2020-12-01,2148.0
