ds,y
2017-01-01,1098.0
2017-02-01,709.0
2017-03-01,1481.0
2017-04-01,1288.0
2017-05-01,3071.0
2017-06-01,3645.0
2017-07-01,2330.0
2017-08-01,1016.0
2017-09-01,2237.0
2017-10-01,936.0
2017-11-01,1462.0
2017-12-01,1447.0
2018-01-01,1613.0
2018-02-01,3373.0
2018-03-01,5250.0
2018-04-01,2036.0
2018-05-01,1151.0
2018-06-01,4110.0
2018-07-01,2670.0
2018-08-01,1328.0
2018-09-01,2497.0
2018-10-01,4372.0
2018-11-01,1193.0
2018-12-01,1109.0
2019-01-01,377.0
2019-02-01,1236.0
2019-03-01,3746.0
2019-04-01,3883.0
2019-05-01,475.0
2019-06-01,2709.0
2019-07-01,2141.0
2019-08-01,4560.0
2019-09-01,750.0
2019-10-01,2254.0
2019-11-01,2401.0
2019-12-01,2708.0
2020-01-01,2047.0
2020-02-01,1830.0
2020-03-01,873.0
2020-04-01,489.0
2020-05-01,312.0
2020-06-01,6293.0
2020-07-01,4579.0
2020-08-01,1196.0
2020-09-01,4806.0
2020-10-01,1655.0
2020-11-01,2584.0
2020-12-01,5957.0
