ds,y
2017-01-01,1832.0
2017-02-01,2513.0
2017-03-01,1386.0
2017-04-01,280.0
2017-05-01,1738.0
2017-06-01,1986.0
2017-07-01,5547.0
2017-08-01,1326.0
2017-09-01,33815.0
2017-10-01,1070.0
2017-11-01,1287.0
2017-12-01,1020.0
2018-01-01,1164.0
2018-02-01,13977.0
2018-03-01,1793.0
2018-04-01,3035.0
2018-05-01,810.0
2018-06-01,1803.0
2018-07-01,1514.0
2018-08-01,3175.0
2018-09-01,3436.0
2018-10-01,2105.0
2018-11-01,3775.0
2018-12-01,2378.0
2019-01-01,844.0
2019-02-01,1374.0
2019-03-01,5366.0
2019-04-01,857.0
2019-05-01,2103.0
2019-06-01,487.0
2019-07-01,348.0
2019-08-01,2232.0
2019-09-01,828.0
2019-10-01,2455.0
2019-11-01,6004.0
2019-12-01,1293.0
2020-01-01,1030.0
2020-02-01,984.0
2020-03-01,6105.0
2020-04-01,2244.0
2020-05-01,1892.0
2020-06-01,1811.0
2020-07-01,2165.0
2020-08-01,670.0
2020-09-01,650.0
2020-10-01,952.0
2020-11-01,6633.0
2020-12-01,4634.0
