ds,y
2017-01-01,140.0
2017-02-01,2620.0
2017-03-01,4011.0
2017-04-01,2159.0
2017-05-01,636.0
2017-06-01,6795.0
2017-07-01,2113.0
2017-08-01,1359.0
2017-09-01,2269.0
2017-10-01,503.0
2017-11-01,2247.0
2017-12-01,1057.0
2018-01-01,1139.0
2018-02-01,1419.0
2018-03-01,3490.0
2018-04-01,3653.0
2018-05-01,1619.0
2018-06-01,820.0
2018-07-01,6578.0
2018-08-01,4671.0
2018-09-01,1478.0
2018-10-01,2179.0
2018-11-01,3222.0
2018-12-01,1852.0
2019-01-01,330.0
2019-02-01,5741.0
2019-03-01,451.0
2019-04-01,3275.0
2019-05-01,4275.0
2019-06-01,2983.0
2019-07-01,1025.0
2019-08-01,1054.0
2019-09-01,1352.0
2019-10-01,5304.0
2019-11-01,4511.0
2019-12-01,187.0
2020-01-01,1184.0
2020-02-01,402.0
2020-03-01,1408.0
2020-04-01,1728.0
2020-05-01,539.0
2020-06-01,794.0
2020-07-01,933.0
2020-08-01,1690.0
2020-09-01,1645.0
2020-10-01,511.0
2020-11-01,848.0
2020-12-01,1340.0
