ds,y
2017-01-01,459.0
2017-02-01,668.0
2017-03-01,5182.0
2017-04-01,776.0
2017-05-01,2121.0
2017-06-01,1680.0
2017-07-01,1074.0
2017-08-01,725.0
2017-09-01,909.0
2017-10-01,1111.0
2017-11-01,911.0
2017-12-01,2088.0
2018-01-01,854.0
2018-02-01,2943.0
2018-03-01,2922.0
2018-04-01,1677.0
2018-05-01,7316.0
2018-06-01,8675.0
2018-07-01,943.0
2018-08-01,1521.0
2018-09-01,3204.0
2018-10-01,1313.0
2018-11-01,659.0
2018-12-01,2341.0
2019-01-01,552.0
2019-02-01,4106.0
2019-03-01,1264.0
2019-04-01,1193.0
2019-05-01,2900.0
2019-06-01,572.0
2019-07-01,647.0
2019-08-01,1570.0
2019-09-01,531.0
2019-10-01,490.0
2019-11-01,537.0
2019-12-01,1614.0
2020-01-01,1805.0
2020-02-01,1028.0
2020-03-01,2498.0
2020-04-01,204.0
2020-05-01,6072.0
2020-06-01,5292.0
2020-07-01,676.0
2020-08-01,742.0
2020-09-01,2543.0
2020-10-01,2311.0
2020-11-01,1186.0
2020-12-01,2029.0
