ds,y
2017-01-01,1142.0
2017-02-01,972.0
2017-03-01,369.0
2017-04-01,3998.0
2017-05-01,973.0
2017-06-01,963.0
2017-07-01,2140.0
2017-08-01,1124.0
2017-09-01,953.0
2017-10-01,4714.0
2017-11-01,993.0
2017-12-01,5618.0
2018-01-01,574.0
2018-02-01,2791.0
2018-03-01,6655.0
2018-04-01,1201.0
2018-05-01,1847.0
2018-06-01,397.0
2018-07-01,3978.0
2018-08-01,1160.0
2018-09-01,992.0
2018-10-01,7670.0
2018-11-01,2267.0
2018-12-01,4620.0
2019-01-01,175.0
2019-02-01,2591.0
2019-03-01,1951.0
2019-04-01,695.0
2019-05-01,1650.0
2019-06-01,1897.0
2019-07-01,2321.0
2019-08-01,2529.0
2019-09-01,3693.0
2019-10-01,1208.0
2019-11-01,4327.0
2019-12-01,691.0
2020-01-01,853.0
2020-02-01,1719.0
2020-03-01,2346.0
2020-04-01,719.0
2020-05-01,666.0
2020-06-01,15457.0
2020-07-01,2347.0
2020-08-01,2265.0
2020-09-01,4792.0
2020-10-01,1327.0
2020-11-01,1317.0
2020-12-01,3664.0
