ds,y
2017-01-01,2760.0
2017-02-01,1384.0
2017-03-01,1220.0
2017-04-01,933.0
2017-05-01,310.0
2017-06-01,2362.0
2017-07-01,1860.0
2017-08-01,1152.0
2017-09-01,2202.0
2017-10-01,1268.0
2017-11-01,2276.0
2017-12-01,1649.0
2018-01-01,1797.0
2018-02-01,1665.0
2018-03-01,1542.0
2018-04-01,1060.0
2018-05-01,1293.0
2018-06-01,2549.0
2018-07-01,7501.0
2018-08-01,1139.0
2018-09-01,1775.0
2018-10-01,6424.0
2018-11-01,925.0
2018-12-01,1623.0
2019-01-01,1402.0
2019-02-01,3895.0
2019-03-01,8944.0
2019-04-01,2731.0
2019-05-01,1987.0
2019-06-01,1278.0
2019-07-01,960.0
2019-08-01,15725.0
2019-09-01,1305.0
2019-10-01,3373.0
2019-11-01,1031.0
2019-12-01,658.0
2020-01-01,417.0
2020-02-01,2456.0
2020-03-01,6078.0
2020-04-01,1702.0
2020-05-01,1086.0
2020-06-01,1273.0
2020-07-01,3808.0
2020-08-01,1810.0
2020-09-01,3396.0
2020-10-01,483.0
2020-11-01,1486.0
2020-12-01,5022.0
