ds,y
2017-01-01,276.0
2017-02-01,2045.0
2017-03-01,1602.0
2017-04-01,856.0
2017-05-01,4567.0
2017-06-01,2020.0
2017-07-01,6324.0
2017-08-01,931.0
2017-09-01,5780.0
2017-10-01,1382.0
2017-11-01,26437.0
2017-12-01,369.0
2018-01-01,1844.0
2018-02-01,1781.0
2018-03-01,2213.0
2018-04-01,1772.0
2018-05-01,1539.0
2018-06-01,1850.0
2018-07-01,4339.0
2018-08-01,2970.0
2018-09-01,1604.0
2018-10-01,3202.0
2018-11-01,5425.0
2018-12-01,1472.0
2019-01-01,484.0
2019-02-01,2384.0
2019-03-01,664.0
2019-04-01,1596.0
2019-05-01,1006.0
2019-06-01,1626.0
2019-07-01,1837.0
2019-08-01,754.0
2019-09-01,848.0
2019-10-01,666.0
2019-11-01,3816.0
2019-12-01,1762.0
2020-01-01,697.0
2020-02-01,579.0
2020-03-01,1022.0
2020-04-01,2287.0
2020-05-01,1902.0
2020-06-01,1242.0
2020-07-01,4497.0
2020-08-01,1419.0
2020-09-01,6548.0
2020-10-01,628.0
2020-11-01,1376.0
2020-12-01,2470.0
