ds,y
2017-01-01,1018.0
2017-02-01,2270.0
2017-03-01,1807.0
2017-04-01,539.0
2017-05-01,1314.0
2017-06-01,418.0
2017-07-01,748.0
2017-08-01,6188.0
2017-09-01,1301.0
2017-10-01,1506.0
2017-11-01,1386.0
2017-12-01,1433.0
2018-01-01,1018.0
2018-02-01,2477.0
2018-03-01,1301.0
2018-04-01,495.0
2018-05-01,1270.0
2018-06-01,928.0
2018-07-01,2573.0
2018-08-01,2763.0
2018-09-01,1372.0
2018-10-01,3818.0
2018-11-01,2165.0
2018-12-01,2770.0
2019-01-01,728.0
2019-02-01,1585.0
2019-03-01,1542.0
2019-04-01,488.0
2019-05-01,1869.0
2019-06-01,2673.0
2019-07-01,2374.0
2019-08-01,1060.0
2019-09-01,1826.0
2019-10-01,2848.0
2019-11-01,715.0
2019-12-01,1130.0
2020-01-01,1306.0
2020-02-01,5911.0
2020-03-01,3741.0
2020-04-01,1204.0
2020-05-01,1721.0
2020-06-01,846.0
2020-07-01,1504.0
2020-08-01,592.0
2020-09-01,1609.0
2020-10-01,336.0
2020-11-01,5099.0
2020-12-01,850.0
