ds,y
2017-01-01,533.0
2017-02-01,4043.0
2017-03-01,675.0
2017-04-01,2047.0
2017-05-01,2138.0
2017-06-01,2494.0
2017-07-01,2733.0
2017-08-01,4597.0
2017-09-01,984.0
2017-10-01,434.0
2017-11-01,1640.0
2017-12-01,1272.0
2018-01-01,4122.0
2018-02-01,5152.0
2018-03-01,22850.0
2018-04-01,1720.0
2018-05-01,1076.0
2018-06-01,8738.0
2018-07-01,2812.0
2018-08-01,1047.0
2018-09-01,1385.0
2018-10-01,3051.0
2018-11-01,2270.0
2018-12-01,2041.0
2019-01-01,500.0
2019-02-01,600.0
2019-03-01,4685.0
2019-04-01,2352.0
2019-05-01,1442.0
2019-06-01,1275.0
2019-07-01,2200.0
2019-08-01,767.0
2019-09-01,902.0
2019-10-01,227.0
2019-11-01,1155.0
2019-12-01,368.0
2020-01-01,3005.0
2020-02-01,814.0
2020-03-01,353.0
2020-04-01,1279.0
2020-05-01,1504.0
2020-06-01,263.0
2020-07-01,2237.0
2020-08-01,1156.0
2020-09-01,4622.0
2020-10-01,245.0
2020-11-01,1405.0
2020-12-01,1223.0
