ds,y
2017-01-01,10834.0
2017-02-01,525.0
2017-03-01,5746.0
2017-04-01,2551.0
2017-05-01,1954.0
2017-06-01,2024.0
2017-07-01,1458.0
2017-08-01,1470.0
2017-09-01,1655.0
2017-10-01,2345.0
2017-11-01,3255.0
2017-12-01,2430.0
2018-01-01,1835.0
2018-02-01,2792.0
2018-03-01,2248.0
2018-04-01,1320.0
2018-05-01,1039.0
2018-06-01,1006.0
2018-07-01,4414.0
2018-08-01,4399.0
2018-09-01,635.0
2018-10-01,2881.0
2018-11-01,2673.0
2018-12-01,1715.0
2019-01-01,2178.0
2019-02-01,1116.0
2019-03-01,2749.0
2019-04-01,1530.0
2019-05-01,2131.0
2019-06-01,2875.0
2019-07-01,1068.0
2019-08-01,212.0
2019-09-01,1307.0
2019-10-01,1370.0
2019-11-01,4432.0
2019-12-01,488.0
2020-01-01,673.0
2020-02-01,3851.0
2020-03-01,1941.0
2020-04-01,443.0
2020-05-01,1174.0
2020-06-01,881.0
2020-07-01,1990.0
2020-08-01,1744.0
2020-09-01,4084.0
2020-10-01,1273.0
2020-11-01,5000.0
2020-12-01,4558.0
