ds,y
2017-01-01,1665.0
2017-02-01,2279.0
2017-03-01,833.0
2017-04-01,771.0
2017-05-01,506.0
2017-06-01,758.0
2017-07-01,1155.0
2017-08-01,1141.0
2017-09-01,1295.0
2017-10-01,2685.0
2017-11-01,1001.0
2017-12-01,706.0
2018-01-01,6601.0
2018-02-01,1607.0
2018-03-01,2377.0
2018-04-01,1647.0
2018-05-01,3801.0
2018-06-01,1441.0
2018-07-01,5275.0
2018-08-01,1586.0
2018-09-01,6099.0
2018-10-01,4898.0
2018-11-01,5111.0
2018-12-01,3154.0
2019-01-01,1031.0
2019-02-01,1215.0
2019-03-01,677.0
2019-04-01,839.0
2019-05-01,3872.0
2019-06-01,1008.0
2019-07-01,1935.0
2019-08-01,1286.0
2019-09-01,1966.0
2019-10-01,5359.0
2019-11-01,210.0
2019-12-01,2925.0
2020-01-01,1456.0
2020-02-01,3413.0
2020-03-01,284.0
2020-04-01,715.0
2020-05-01,395.0
2020-06-01,1815.0
2020-07-01,2005.0
2020-08-01,18834.0
2020-09-01,1344.0
2020-10-01,1395.0
2020-11-01,4412.0
2020-12-01,776.0
