ds,y
2017-01-01,374.0
2017-02-01,1141.0
2017-03-01,3315.0
2017-04-01,264.0
2017-05-01,2859.0
2017-06-01,1579.0
2017-07-01,709.0
2017-08-01,968.0
2017-09-01,2725.0
2017-10-01,1063.0
2017-11-01,1137.0
2017-12-01,914.0
2018-01-01,1931.0
2018-02-01,4885.0
2018-03-01,7691.0
2018-04-01,3347.0
2018-05-01,3443.0
2018-06-01,5241.0
2018-07-01,1940.0
2018-08-01,2550.0
2018-09-01,2963.0
2018-10-01,4008.0
2018-11-01,1158.0
2018-12-01,1504.0
2019-01-01,1468.0
2019-02-01,5101.0
2019-03-01,745.0
2019-04-01,4427.0
2019-05-01,1359.0
2019-06-01,1957.0
2019-07-01,1188.0
2019-08-01,2526.0
2019-09-01,6275.0
2019-10-01,590.0
2019-11-01,1856.0
2019-12-01,878.0
2020-01-01,1071.0
2020-02-01,3649.0
2020-03-01,7935.0
2020-04-01,1429.0
2020-05-01,4291.0
2020-06-01,1651.0
2020-07-01,891.0
2020-08-01,2496.0
2020-09-01,5949.0
2020-10-01,4783.0
2020-11-01,1915.0
2020-12-01,2230.0
