ds,y
2017-01-01,621.0
2017-02-01,384.0
2017-03-01,2362.0
2017-04-01,863.0
2017-05-01,6083.0
2017-06-01,1203.0
2017-07-01,1687.0
2017-08-01,1612.0
2017-09-01,565.0
2017-10-01,421.0
2017-11-01,4264.0
2017-12-01,1877.0
2018-01-01,1024.0
2018-02-01,6127.0
2018-03-01,1965.0
2018-04-01,1030.0
2018-05-01,2183.0
2018-06-01,786.0
2018-07-01,587.0
2018-08-01,912.0
2018-09-01,2541.0
2018-10-01,3358.0
2018-11-01,1098.0
2018-12-01,3672.0
2019-01-01,549.0
2019-02-01,548.0
2019-03-01,1065.0
2019-04-01,1639.0
2019-05-01,1626.0
2019-06-01,1034.0
2019-07-01,1156.0
2019-08-01,1450.0
2019-09-01,872.0
2019-10-01,508.0
2019-11-01,11216.0
2019-12-01,355.0
2020-01-01,1754.0
2020-02-01,-344.0
2020-03-01,1039.0
2020-04-01,811.0
2020-05-01,1984.0
2020-06-01,2566.0
2020-07-01,4714.0
2020-08-01,774.0
2020-09-01,1380.0
2020-10-01,25938.0
2020-11-01,9102.0
2020-12-01,4676.0
