ds,y
2017-01-01,672.0
2017-02-01,1405.0
2017-03-01,704.0
2017-04-01,1445.0
2017-05-01,1853.0
2017-06-01,985.0
2017-07-01,972.0
2017-08-01,800.0
2017-09-01,1790.0
2017-10-01,898.0
2017-11-01,2481.0
2017-12-01,811.0
2018-01-01,1046.0
2018-02-01,5837.0
2018-03-01,3064.0
2018-04-01,11703.0
2018-05-01,4423.0
2018-06-01,1697.0
2018-07-01,1568.0
2018-08-01,307.0
2018-09-01,2690.0
2018-10-01,1069.0
2018-11-01,1550.0
2018-12-01,1548.0
2019-01-01,82.0
2019-02-01,7339.0
2019-03-01,3720.0
2019-04-01,546.0
2019-05-01,4014.0
2019-06-01,1973.0
2019-07-01,10292.0
2019-08-01,11696.0
2019-09-01,1294.0
2019-10-01,804.0
2019-11-01,3479.0
2019-12-01,532.0
2020-01-01,534.0
2020-02-01,5905.0
2020-03-01,1093.0
2020-04-01,1235.0
2020-05-01,795.0
2020-06-01,2130.0
2020-07-01,1123.0
2020-08-01,140.0
2020-09-01,8391.0
2020-10-01,802.0
2020-11-01,1301.0
2020-12-01,7125.0
