ds,y
2017-01-01,1545.0
2017-02-01,1111.0
2017-03-01,950.0
2017-04-01,1017.0
2017-05-01,1187.0
2017-06-01,627.0
2017-07-01,871.0
2017-08-01,2027.0
2017-09-01,863.0
2017-10-01,607.0
2017-11-01,9634.0
2017-12-01,9036.0
2018-01-01,1013.0
2018-02-01,504.0
2018-03-01,2363.0
2018-04-01,7807.0
2018-05-01,1055.0
2018-06-01,1307.0
2018-07-01,20881.0
2018-08-01,2260.0
2018-09-01,4629.0
2018-10-01,1820.0
2018-11-01,2386.0
2018-12-01,575.0
2019-01-01,609.0
2019-02-01,4055.0
2019-03-01,380.0
2019-04-01,1136.0
2019-05-01,1516.0
2019-06-01,2317.0
2019-07-01,949.0
2019-08-01,1836.0
2019-09-01,16589.0
2019-10-01,1949.0
2019-11-01,3743.0
2019-12-01,258.0
2020-01-01,1262.0
2020-02-01,1693.0
2020-03-01,5215.0
2020-04-01,4940.0
2020-05-01,365.0
2020-06-01,2473.0
2020-07-01,479.0
2020-08-01,1563.0
2020-09-01,2572.0
2020-10-01,4706.0
2020-11-01,1002.0
2020-12-01,1168.0
