ds,y
2017-01-01,10600.0
2017-02-01,1884.0
2017-03-01,1551.0
2017-04-01,1042.0
2017-05-01,3378.0
2017-06-01,2809.0
2017-07-01,2031.0
2017-08-01,5557.0
2017-09-01,3241.0
2017-10-01,1599.0
2017-11-01,3427.0
2017-12-01,3073.0
2018-01-01,993.0
2018-02-01,2364.0
2018-03-01,1224.0
2018-04-01,1859.0
2018-05-01,1210.0
2018-06-01,962.0
2018-07-01,2066.0
2018-08-01,6783.0
2018-09-01,1861.0
2018-10-01,2390.0
2018-11-01,3205.0
2018-12-01,569.0
2019-01-01,879.0
2019-02-01,2585.0
2019-03-01,4448.0
2019-04-01,2620.0
2019-05-01,1474.0
2019-06-01,2108.0
2019-07-01,3407.0
2019-08-01,998.0
2019-09-01,338.0
2019-10-01,1676.0
2019-11-01,933.0
2019-12-01,941.0
2020-01-01,1324.0
2020-02-01,3308.0
2020-03-01,2296.0
2020-04-01,1133.0
2020-05-01,1445.0
2020-06-01,543.0
2020-07-01,1318.0
2020-08-01,2138.0
2020-09-01,3002.0
2020-10-01,2320.0
2020-11-01,2860.0
2020-12-01,4338.0
