ds,y
2017-01-01,448.0
2017-02-01,2099.0
2017-03-01,2841.0
2017-04-01,1808.0
2017-05-01,1550.0
2017-06-01,11212.0
2017-07-01,1502.0
2017-08-01,1269.0
2017-09-01,2191.0
2017-10-01,2313.0
2017-11-01,2371.0
2017-12-01,2689.0
2018-01-01,949.0
2018-02-01,2463.0
2018-03-01,1488.0
2018-04-01,1569.0
2018-05-01,2363.0
2018-06-01,14905.0
2018-07-01,1064.0
2018-08-01,933.0
2018-09-01,1270.0
2018-10-01,5580.0
2018-11-01,2980.0
2018-12-01,15550.0
2019-01-01,635.0
2019-02-01,3819.0
2019-03-01,2285.0
2019-04-01,248.0
2019-05-01,1961.0
2019-06-01,5388.0
2019-07-01,1279.0
2019-08-01,874.0
2019-09-01,10667.0
2019-10-01,1408.0
2019-11-01,659.0
2019-12-01,433.0
2020-01-01,998.0
2020-02-01,2865.0
2020-03-01,737.0
2020-04-01,96.0
2020-05-01,4450.0
2020-06-01,2477.0
2020-07-01,9065.0
2020-08-01,787.0
2020-09-01,3331.0
2020-10-01,1004.0
2020-11-01,7913.0
2020-12-01,4869.0
