ds,y
2017-01-01,1786.0
2017-02-01,770.0
2017-03-01,4775.0
2017-04-01,7069.0
2017-05-01,1073.0
2017-06-01,1894.0
2017-07-01,1644.0
2017-08-01,924.0
2017-09-01,2219.0
2017-10-01,1705.0
2017-11-01,4283.0
2017-12-01,1098.0
2018-01-01,1723.0
2018-02-01,2030.0
2018-03-01,1403.0
2018-04-01,1481.0
2018-05-01,1277.0
2018-06-01,2237.0
2018-07-01,1685.0
2018-08-01,746.0
2018-09-01,4013.0
2018-10-01,5178.0
2018-11-01,1654.0
2018-12-01,9793.0
2019-01-01,986.0
2019-02-01,2614.0
2019-03-01,3420.0
2019-04-01,1075.0
2019-05-01,3356.0
2019-06-01,430.0
2019-07-01,2297.0
2019-08-01,2133.0
2019-09-01,2882.0
2019-10-01,5373.0
2019-11-01,8351.0
2019-12-01,3819.0
2020-01-01,1167.0
2020-02-01,3618.0
2020-03-01,3915.0
2020-04-01,907.0
2020-05-01,721.0
2020-06-01,3647.0
2020-07-01,898.0
2020-08-01,2145.0
2020-09-01,3457.0
2020-10-01,1054.0
2020-11-01,725.0
2020-12-01,3574.0
