ds,y
2017-01-01,2606.0
2017-02-01,1049.0
2017-03-01,1229.0
2017-04-01,1417.0
2017-05-01,2964.0
2017-06-01,3044.0
2017-07-01,2912.0
2017-08-01,2183.0
2017-09-01,887.0
2017-10-01,1657.0
2017-11-01,641.0
2017-12-01,732.0
2018-01-01,846.0
2018-02-01,3672.0
2018-03-01,2653.0
2018-04-01,1140.0
2018-05-01,1046.0
2018-06-01,3090.0
2018-07-01,5744.0
2018-08-01,2242.0
2018-09-01,5184.0
2018-10-01,2142.0
2018-11-01,4125.0
2018-12-01,852.0
2019-01-01,509.0
2019-02-01,547.0
2019-03-01,2288.0
2019-04-01,836.0
2019-05-01,707.0
2019-06-01,12493.0
2019-07-01,1388.0
2019-08-01,692.0
2019-09-01,714.0
2019-10-01,1828.0
2019-11-01,1197.0
2019-12-01,678.0
2020-01-01,527.0
2020-02-01,400.0
2020-03-01,4222.0
2020-04-01,5859.0
2020-05-01,1104.0
2020-06-01,3707.0
2020-07-01,2460.0
2020-08-01,2548.0
2020-09-01,751.0
2020-10-01,1192.0
2020-11-01,1295.0
2020-12-01,2933.0
