ds,y
2017-01-01,866.0
2017-02-01,749.0
2017-03-01,1000.0
2017-04-01,336.0
2017-05-01,555.0
2017-06-01,1573.0
2017-07-01,4404.0
2017-08-01,2385.0
2017-09-01,1658.0
2017-10-01,1297.0
2017-11-01,1903.0
2017-12-01,645.0
2018-01-01,356.0
2018-02-01,2091.0
2018-03-01,3181.0
2018-04-01,4916.0
2018-05-01,2408.0
2018-06-01,3221.0
2018-07-01,12610.0
2018-08-01,917.0
2018-09-01,1874.0
2018-10-01,1718.0
2018-11-01,1740.0
2018-12-01,2003.0
2019-01-01,506.0
2019-02-01,732.0
2019-03-01,806.0
2019-04-01,4895.0
2019-05-01,2007.0
2019-06-01,777.0
2019-07-01,532.0
2019-08-01,901.0
2019-09-01,2254.0
2019-10-01,1099.0
2019-11-01,8998.0
2019-12-01,743.0
2020-01-01,1739.0
2020-02-01,1840.0
2020-03-01,6327.0
2020-04-01,322.0
2020-05-01,679.0
2020-06-01,4349.0
2020-07-01,1187.0
2020-08-01,2087.0
2020-09-01,5913.0
2020-10-01,488.0
2020-11-01,2182.0
2020-12-01,1206.0
