ds,y
2017-01-01,399.0
2017-02-01,4609.0
2017-03-01,2367.0
2017-04-01,701.0
2017-05-01,1063.0
2017-06-01,8751.0
2017-07-01,1641.0
2017-08-01,888.0
2017-09-01,854.0
2017-10-01,1465.0
2017-11-01,1004.0
2017-12-01,1028.0
2018-01-01,1424.0
2018-02-01,3732.0
2018-03-01,3165.0
2018-04-01,934.0
2018-05-01,1276.0
2018-06-01,1672.0
2018-07-01,3664.0
2018-08-01,9223.0
2018-09-01,19787.0
2018-10-01,1619.0
2018-11-01,2408.0
2018-12-01,447.0
2019-01-01,413.0
2019-02-01,5505.0
2019-03-01,1359.0
2019-04-01,3256.0
2019-05-01,1634.0
2019-06-01,700.0
2019-07-01,1595.0
2019-08-01,388.0
2019-09-01,2370.0
2019-10-01,447.0
2019-11-01,1320.0
2019-12-01,469.0
2020-01-01,2365.0
2020-02-01,859.0
2020-03-01,1230.0
2020-04-01,7083.0
2020-05-01,10138.0
2020-06-01,1310.0
2020-07-01,1547.0
2020-08-01,889.0
2020-09-01,2472.0
2020-10-01,1109.0
2020-11-01,2791.0
2020-12-01,797.0
