ds,y
2017-01-01,343.0
2017-02-01,626.0
2017-03-01,1914.0
2017-04-01,3133.0
2017-05-01,1456.0
2017-06-01,1645.0
2017-07-01,1048.0
2017-08-01,4338.0
2017-09-01,4827.0
2017-10-01,1392.0
2017-11-01,10174.0
2017-12-01,3625.0
2018-01-01,4260.0
2018-02-01,981.0
2018-03-01,1791.0
2018-04-01,2090.0
2018-05-01,3495.0
2018-06-01,4783.0
2018-07-01,902.0
2018-08-01,3049.0
2018-09-01,2348.0
2018-10-01,3116.0
2018-11-01,558.0
2018-12-01,1138.0
2019-01-01,1777.0
2019-02-01,1816.0
2019-03-01,1882.0
2019-04-01,634.0
2019-05-01,1822.70351758794
2019-06-01,706.0
2019-07-01,4904.0
2019-08-01,369.0
2019-09-01,2618.0
2019-10-01,1238.0
2019-11-01,946.0
2019-12-01,193.0
2020-01-01,9032.0
2020-02-01,1372.0
2020-03-01,1260.0
2020-04-01,1041.0
2020-05-01,6124.0
2020-06-01,2129.0
2020-07-01,956.0
2020-08-01,563.0
2020-09-01,800.0
2020-10-01,2598.0
2020-11-01,976.0
2020-12-01,1350.0
