ds,y
2017-01-01,880.0
2017-02-01,1352.0
2017-03-01,1617.0
2017-04-01,1051.0
2017-05-01,548.0
2017-06-01,2917.0
2017-07-01,1234.0
2017-08-01,1641.0
2017-09-01,1413.0
2017-10-01,2105.0
2017-11-01,1002.0
2017-12-01,650.0
2018-01-01,1412.0
2018-02-01,3736.0
2018-03-01,2285.0
2018-04-01,1345.0
2018-05-01,1306.0
2018-06-01,611.0
2018-07-01,815.0
2018-08-01,3579.0
2018-09-01,7947.0
2018-10-01,1907.0
2018-11-01,1042.0
2018-12-01,1114.0
2019-01-01,1338.0
2019-02-01,3189.0
2019-03-01,2628.0
2019-04-01,1145.0
2019-05-01,-301.0
2019-06-01,1112.5
2019-07-01,1398.0
2019-08-01,907.0
2019-09-01,2137.0
2019-10-01,1777.0
2019-11-01,3121.0
2019-12-01,224.0
2020-01-01,774.0
2020-02-01,884.0
2020-03-01,1010.0
2020-04-01,1001.0
2020-05-01,938.0
2020-06-01,1546.0
2020-07-01,3407.0
2020-08-01,1296.0
2020-09-01,2716.0
2020-10-01,912.0
2020-11-01,3318.0
2020-12-01,5338.0
