ds,y
2017-01-01,1110.0
2017-02-01,442.0
2017-03-01,1116.0
2017-04-01,2306.0
2017-05-01,1674.0
2017-06-01,3193.0
2017-07-01,895.0
2017-08-01,1278.0
2017-09-01,763.0
2017-10-01,2406.0
2017-11-01,718.0
2017-12-01,886.0
2018-01-01,579.0
2018-02-01,2940.0
2018-03-01,3903.0
2018-04-01,856.0
2018-05-01,1459.0
2018-06-01,1875.0
2018-07-01,2026.0
2018-08-01,5489.0
2018-09-01,1888.0
2018-10-01,2684.0
2018-11-01,2165.0
2018-12-01,13744.0
2019-01-01,525.0
2019-02-01,2586.0
2019-03-01,1621.0
2019-04-01,517.0
2019-05-01,1796.0
2019-06-01,1398.0
2019-07-01,1903.0
2019-08-01,4400.0
2019-09-01,3063.0
2019-10-01,441.0
2019-11-01,718.0
2019-12-01,828.0
2020-01-01,4308.0
2020-02-01,331.0
2020-03-01,882.0
2020-04-01,751.0
2020-05-01,4617.0
2020-06-01,1327.0
2020-07-01,1505.0
2020-08-01,1110.0
2020-09-01,2055.0
2020-10-01,1093.0
2020-11-01,2184.0
2020-12-01,1030.0
