ds,y
2017-01-01,754.0
2017-02-01,1716.0
2017-03-01,371.0
2017-04-01,1250.0
2017-05-01,2774.0
2017-06-01,3380.0
2017-07-01,3289.0
2017-08-01,1528.0
2017-09-01,2101.0
2017-10-01,886.0
2017-11-01,1641.0
2017-12-01,1571.0
2018-01-01,2588.0
2018-02-01,4079.0
2018-03-01,1110.0
2018-04-01,1460.0
2018-05-01,1757.0
2018-06-01,2140.0
2018-07-01,2963.0
2018-08-01,1820.0
2018-09-01,2652.0
2018-10-01,4768.0
2018-11-01,1789.0
2018-12-01,5229.0
2019-01-01,566.0
2019-02-01,2121.0
2019-03-01,16821.0
2019-04-01,5256.0
2019-05-01,654.0
2019-06-01,2325.0
2019-07-01,1606.0
2019-08-01,922.0
2019-09-01,3214.0
2019-10-01,2484.0
2019-11-01,259.0
2019-12-01,1947.0
2020-01-01,2823.0
2020-02-01,322.0
2020-03-01,-236.0
2020-04-01,2739.0
2020-05-01,1660.0
2020-06-01,875.0
2020-07-01,1265.0
2020-08-01,2019.0
2020-09-01,1823.0
2020-10-01,908.0
2020-11-01,10254.0
2020-12-01,5891.0
