ds,y
2017-01-01,691.0
2017-02-01,876.0
2017-03-01,2857.0
2017-04-01,848.0
2017-05-01,9756.0
2017-06-01,1337.0
2017-07-01,2001.0
2017-08-01,5984.0
2017-09-01,2448.0
2017-10-01,1308.0
2017-11-01,13619.0
2017-12-01,2093.0
2018-01-01,1027.0
2018-02-01,5721.0
2018-03-01,3009.0
2018-04-01,2436.0
2018-05-01,3888.0
2018-06-01,5583.0
2018-07-01,10973.0
2018-08-01,962.0
2018-09-01,2601.0
2018-10-01,13400.0
2018-11-01,880.0
2018-12-01,1413.0
2019-01-01,1509.0
2019-02-01,1175.0
2019-03-01,1696.0
2019-04-01,2246.0
2019-05-01,1041.906882591093
2019-06-01,955.0
2019-07-01,1331.0
2019-08-01,1519.0
2019-09-01,2063.0
2019-10-01,1042.0
2019-11-01,912.0
2019-12-01,669.0
2020-01-01,3042.0
2020-02-01,776.0
2020-03-01,4686.0
2020-04-01,1820.0
2020-05-01,435.0
2020-06-01,1639.0
2020-07-01,1393.0
2020-08-01,2027.0
2020-09-01,2141.0
2020-10-01,755.0
2020-11-01,724.0
2020-12-01,1791.0
