ds,y
2017-01-01,948.0
2017-02-01,3004.0
2017-03-01,1762.0
2017-04-01,3871.0
2017-05-01,2072.0
2017-06-01,2553.0
2017-07-01,2782.0
2017-08-01,-50.0
2017-09-01,221.0
2017-10-01,1383.0
2017-11-01,911.0
2017-12-01,763.0
2018-01-01,2277.0
2018-02-01,2204.0
2018-03-01,1494.0
2018-04-01,1200.0
2018-05-01,3770.0
2018-06-01,3194.0
2018-07-01,1072.0
2018-08-01,891.0
2018-09-01,1938.0
2018-10-01,1789.0
2018-11-01,2165.0
2018-12-01,882.0
2019-01-01,559.0
2019-02-01,2792.0
2019-03-01,21725.0
2019-04-01,1074.0
2019-05-01,820.0
2019-06-01,1231.0
2019-07-01,518.0
2019-08-01,32236.0
2019-09-01,20317.0
2019-10-01,1347.0
2019-11-01,548.0
2019-12-01,965.0
2020-01-01,1325.0
2020-02-01,3373.0
2020-03-01,400.0
2020-04-01,375.0
2020-05-01,3483.0
2020-06-01,1226.0
2020-07-01,1015.0
2020-08-01,735.0
2020-09-01,1673.0
2020-10-01,7312.0
2020-11-01,1492.0
2020-12-01,3512.0
