ds,y
2017-01-01,660.0
2017-02-01,2678.0
2017-03-01,2430.0
2017-04-01,1411.0
2017-05-01,4487.0
2017-06-01,3538.0
2017-07-01,1610.0
2017-08-01,1394.0
2017-09-01,838.0
2017-10-01,4376.0
2017-11-01,1010.0
2017-12-01,1149.0
2018-01-01,2031.0
2018-02-01,1507.0
2018-03-01,2330.0
2018-04-01,1539.0
2018-05-01,3094.0
2018-06-01,4766.0
2018-07-01,2998.0
2018-08-01,1881.0
2018-09-01,11480.0
2018-10-01,5509.0
2018-11-01,10476.0
2018-12-01,744.0
2019-01-01,238.0
2019-02-01,847.0
2019-03-01,1829.0
2019-04-01,5644.0
2019-05-01,1917.0
2019-06-01,2009.0
2019-07-01,6119.0
2019-08-01,655.0
2019-09-01,1176.0
2019-10-01,407.0
2019-11-01,2333.0
2019-12-01,1822.0
2020-01-01,1826.0
2020-02-01,276.0
2020-03-01,4065.0
2020-04-01,1855.0
2020-05-01,9732.0
2020-06-01,837.0
2020-07-01,1225.0
2020-08-01,5983.0
2020-09-01,3104.0
2020-10-01,4091.0
2020-11-01,1043.0
2020-12-01,1248.0
