ds,y
2017-01-01,2347.0
2017-02-01,2233.0
2017-03-01,3811.0
2017-04-01,3342.0
2017-05-01,1086.0
2017-06-01,4794.0
2017-07-01,2767.0
2017-08-01,2363.0
2017-09-01,2181.0
2017-10-01,2218.0
2017-11-01,1331.0
2017-12-01,1264.0
2018-01-01,1714.0
2018-02-01,6577.0
2018-03-01,2000.0
2018-04-01,1535.0
2018-05-01,1312.0
2018-06-01,1356.0
2018-07-01,2260.0
2018-08-01,3122.0
2018-09-01,3278.0
2018-10-01,1797.0
2018-11-01,1319.0
2018-12-01,834.0
2019-01-01,160.0
2019-02-01,1604.0
2019-03-01,1401.0
2019-04-01,999.0
2019-05-01,817.0
2019-06-01,923.0
2019-07-01,1193.0
2019-08-01,675.0
2019-09-01,4483.0
2019-10-01,1460.0
2019-11-01,1447.0
2019-12-01,2451.428571428571
2020-01-01,3427.0
2020-02-01,10349.0
2020-03-01,1100.0
2020-04-01,1121.0
2020-05-01,1578.0
2020-06-01,289.0
2020-07-01,2503.0
2020-08-01,546.0
2020-09-01,5092.0
2020-10-01,43762.0
2020-11-01,2814.0
2020-12-01,4269.0
