ds,y
2017-01-01,1947.0
2017-02-01,458.0
2017-03-01,603.0
2017-04-01,2121.0
2017-05-01,1446.0
2017-06-01,1014.0
2017-07-01,3054.0
2017-08-01,765.0
2017-09-01,4230.0
2017-10-01,5959.0
2017-11-01,3151.0
2017-12-01,1267.0
2018-01-01,3216.0
2018-02-01,2936.0
2018-03-01,2072.0
2018-04-01,4188.0
2018-05-01,1978.0
2018-06-01,1780.0
2018-07-01,3169.0
2018-08-01,605.0
2018-09-01,1523.0
2018-10-01,2030.0
2018-11-01,2040.0
2018-12-01,721.0
2019-01-01,259.0
2019-02-01,809.0
2019-03-01,934.0
2019-04-01,5412.0
2019-05-01,3134.0
2019-06-01,1473.0
2019-07-01,1698.0
2019-08-01,976.0
2019-09-01,1340.0
2019-10-01,894.0
2019-11-01,1374.0
2019-12-01,3263.0
2020-01-01,2146.0
2020-02-01,1876.0
2020-03-01,4417.0
2020-04-01,542.0
2020-05-01,1307.0
2020-06-01,4265.0
2020-07-01,1233.0
2020-08-01,1187.0
2020-09-01,1793.0
2020-10-01,2295.0
2020-11-01,724.0
2020-12-01,2043.0
