ds,y
2017-01-01,3582.0
2017-02-01,10910.0
2017-03-01,2428.0
2017-04-01,455.0
2017-05-01,4263.0
2017-06-01,461.0
2017-07-01,2619.0
2017-08-01,7447.0
2017-09-01,857.0
2017-10-01,5576.0
2017-11-01,1331.0
2017-12-01,964.0
2018-01-01,2634.0
2018-02-01,1046.0
2018-03-01,3661.0
2018-04-01,2283.0
2018-05-01,3730.0
2018-06-01,3687.0
2018-07-01,3259.0
2018-08-01,2054.0
2018-09-01,1670.0
2018-10-01,7853.0
2018-11-01,6472.0
2018-12-01,3084.0
2019-01-01,976.0
2019-02-01,6300.0
2019-03-01,734.0
2019-04-01,2461.0
2019-05-01,573.0
2019-06-01,2285.0
2019-07-01,2172.0
2019-08-01,1250.0
2019-09-01,558.0
2019-10-01,567.0
2019-11-01,-2426.0
2019-12-01,513.0
2020-01-01,528.0
2020-02-01,3631.0
2020-03-01,2575.0
2020-04-01,508.0
2020-05-01,3004.0
2020-06-01,1779.0
2020-07-01,1656.0
2020-08-01,444.0
2020-09-01,791.0
2020-10-01,2910.0
2020-11-01,1956.0
2020-12-01,12216.0
