ds,y
2017-01-01,395.0
2017-02-01,1868.0
2017-03-01,822.0
2017-04-01,1525.0
2017-05-01,2011.0
2017-06-01,8756.0
2017-07-01,489.0
2017-08-01,2495.0
2017-09-01,1168.0
2017-10-01,1193.0
2017-11-01,1566.0
2017-12-01,4700.0
2018-01-01,2327.0
2018-02-01,2206.0
2018-03-01,1030.0
2018-04-01,2949.2
2018-05-01,1016.0
2018-06-01,2275.0
2018-07-01,2260.0
2018-08-01,2933.0
2018-09-01,1028.0
2018-10-01,3494.0
2018-11-01,11759.0
2018-12-01,976.0
2019-01-01,374.0
2019-02-01,1474.0
2019-03-01,1595.0
2019-04-01,2254.0
2019-05-01,744.0
2019-06-01,1235.0
2019-07-01,7960.0
2019-08-01,714.0
2019-09-01,3690.0
2019-10-01,1518.0
2019-11-01,1594.0
2019-12-01,2375.0
2020-01-01,10484.0
2020-02-01,1136.0
2020-03-01,5805.0
2020-04-01,700.0
2020-05-01,1179.0
2020-06-01,2757.0
2020-07-01,14720.0
2020-08-01,1363.0
2020-09-01,3898.0
2020-10-01,607.0
2020-11-01,2734.0
2020-12-01,1226.0
