ds,y
2017-01-01,494.0
2017-02-01,7329.0
2017-03-01,3607.0
2017-04-01,8412.0
2017-05-01,8935.0
2017-06-01,1062.0
2017-07-01,3927.0
2017-08-01,4772.0
2017-09-01,1545.0
2017-10-01,2429.0
2017-11-01,2609.0
2017-12-01,3260.0
2018-01-01,6651.0
2018-02-01,1034.0
2018-03-01,10688.0
2018-04-01,-877.0
2018-05-01,1776.0
2018-06-01,6311.0
2018-07-01,4630.0
2018-08-01,797.0
2018-09-01,1311.0
2018-10-01,4492.0
2018-11-01,1672.0
2018-12-01,4239.0
2019-01-01,708.0
2019-02-01,480.0
2019-03-01,5658.0
2019-04-01,748.0
2019-05-01,354.0
2019-06-01,3079.0
2019-07-01,671.0
2019-08-01,3798.0
2019-09-01,874.0
2019-10-01,1297.0
2019-11-01,1322.0
2019-12-01,186.0
2020-01-01,500.0
2020-02-01,1117.0
2020-03-01,689.0
2020-04-01,1972.0
2020-05-01,477.0
2020-06-01,4520.0
2020-07-01,621.0
2020-08-01,4703.0
2020-09-01,1306.0
2020-10-01,2060.0
2020-11-01,1094.0
2020-12-01,3404.0
