ds,y
2017-01-01,888.0
2017-02-01,1102.0
2017-03-01,4737.0
2017-04-01,405.0
2017-05-01,2767.0
2017-06-01,1004.0
2017-07-01,1755.0
2017-08-01,107.0
2017-09-01,1166.0
2017-10-01,1850.0
2017-11-01,2916.0
2017-12-01,1896.0
2018-01-01,788.0
2018-02-01,2484.0
2018-03-01,3251.0
2018-04-01,3237.0
2018-05-01,1345.0
2018-06-01,1899.0
2018-07-01,13540.0
2018-08-01,782.0
2018-09-01,2642.0
2018-10-01,1721.0
2018-11-01,4541.0
2018-12-01,1613.0
2019-01-01,5453.0
2019-02-01,1164.0
2019-03-01,1085.0
2019-04-01,4599.0
2019-05-01,905.0
2019-06-01,679.0
2019-07-01,270.0
2019-08-01,16862.0
2019-09-01,1021.0
2019-10-01,2880.0
2019-11-01,858.0
2019-12-01,2189.0
2020-01-01,1515.0
2020-02-01,374.0
2020-03-01,2398.0
2020-04-01,782.0
2020-05-01,4012.0
2020-06-01,3219.0
2020-07-01,2279.0
2020-08-01,1077.0
2020-09-01,2095.0
2020-10-01,632.0
2020-11-01,1331.0
2020-12-01,1962.0
