ds,y
2017-01-01,193.0
2017-02-01,648.0
2017-03-01,394.0
2017-04-01,3577.0
2017-05-01,3220.0
2017-06-01,1082.0
2017-07-01,5727.0
2017-08-01,2294.0
2017-09-01,1717.0
2017-10-01,1049.0
2017-11-01,2197.0
2017-12-01,1668.0
2018-01-01,1190.0
2018-02-01,7384.0
2018-03-01,3425.0
2018-04-01,11808.0
2018-05-01,2434.0
2018-06-01,2614.0
2018-07-01,1825.0
2018-08-01,4378.0
2018-09-01,1904.0
2018-10-01,3786.0
2018-11-01,2373.0
2018-12-01,1328.0
2019-01-01,1056.0
2019-02-01,31700.0
2019-03-01,3379.0
2019-04-01,3507.0
2019-05-01,1274.0
2019-06-01,456.0
2019-07-01,1226.0
2019-08-01,2823.0
2019-09-01,1416.0
2019-10-01,6366.0
2019-11-01,779.0
2019-12-01,1019.0
2020-01-01,1182.0
2020-02-01,2287.0
2020-03-01,1674.0
2020-04-01,1524.0
2020-05-01,1266.0
2020-06-01,3912.0
2020-07-01,3131.0
2020-08-01,4893.0
2020-09-01,2643.0
2020-10-01,556.0
2020-11-01,1178.0
2020-12-01,454.0
