ds,y
2017-01-01,624.0
2017-02-01,1756.0
2017-03-01,1718.0
2017-04-01,376.0
2017-05-01,2581.0
2017-06-01,306.0
2017-07-01,178.0
2017-08-01,1896.0
2017-09-01,1274.0
2017-10-01,2190.0
2017-11-01,1222.0
2017-12-01,2367.0
2018-01-01,3431.0
2018-02-01,2585.0
2018-03-01,3251.0
2018-04-01,2241.0
2018-05-01,2781.0
2018-06-01,3420.0
2018-07-01,664.0
2018-08-01,698.0
2018-09-01,2495.0
2018-10-01,4911.0
2018-11-01,3163.0
2018-12-01,661.0
2019-01-01,1145.0
2019-02-01,1532.0
2019-03-01,3504.0
2019-04-01,2677.0
2019-05-01,1421.923076923077
2019-06-01,928.0
2019-07-01,1698.0
2019-08-01,708.0
2019-09-01,4821.0
2019-10-01,1148.0
2019-11-01,739.0
2019-12-01,1008.0
2020-01-01,1350.0
2020-02-01,1054.0
2020-03-01,2983.0
2020-04-01,482.0
2020-05-01,451.0
2020-06-01,1238.0
2020-07-01,1767.0
2020-08-01,3009.0
2020-09-01,945.0
2020-10-01,-1623.0
2020-11-01,22371.0
2020-12-01,3017.0
