ds,y
2017-01-01,2817.0
2017-02-01,2175.0
2017-03-01,619.0
2017-04-01,1679.0
2017-05-01,1239.0
2017-06-01,3674.0
2017-07-01,568.0
2017-08-01,3669.0
2017-09-01,1549.0
2017-10-01,536.0
2017-11-01,1528.0
2017-12-01,98.0
2018-01-01,613.0
2018-02-01,2328.0
2018-03-01,1431.0
2018-04-01,1333.0
2018-05-01,1784.0
2018-06-01,2025.0
2018-07-01,3679.0
2018-08-01,1571.0
2018-09-01,5061.0
2018-10-01,3818.0
2018-11-01,2060.0
2018-12-01,851.0
2019-01-01,6279.0
2019-02-01,804.0
2019-03-01,556.0
2019-04-01,545.0
2019-05-01,4496.0
2019-06-01,2091.0
2019-07-01,701.0
2019-08-01,20306.0
2019-09-01,3298.0
2019-10-01,1954.0
2019-11-01,553.0
2019-12-01,1789.0
2020-01-01,1442.0
2020-02-01,984.0
2020-03-01,4153.0
2020-04-01,2077.0
2020-05-01,6141.0
2020-06-01,1669.0
2020-07-01,3297.0
2020-08-01,1485.0
2020-09-01,1301.0
2020-10-01,1603.0
2020-11-01,1153.0
2020-12-01,2126.0
