ds,y
2017-01-01,596.0
2017-02-01,1594.0
2017-03-01,1462.0
2017-04-01,883.0
2017-05-01,982.0
2017-06-01,1326.0
2017-07-01,2141.0
2017-08-01,2367.0
2017-09-01,5666.0
2017-10-01,1281.0
2017-11-01,3479.0
2017-12-01,1160.0
2018-01-01,534.0
2018-02-01,796.0
2018-03-01,14198.0
2018-04-01,1430.0
2018-05-01,1348.0
2018-06-01,3703.0
2018-07-01,1623.0
2018-08-01,2386.0
2018-09-01,523.0
2018-10-01,3703.0
2018-11-01,1633.0
2018-12-01,581.0
2019-01-01,492.0
2019-02-01,1118.0
2019-03-01,2508.0
2019-04-01,997.0
2019-05-01,3302.0
2019-06-01,1033.0
2019-07-01,1763.0
2019-08-01,1719.0
2019-09-01,1664.0
2019-10-01,471.0
2019-11-01,498.0
2019-12-01,6454.0
2020-01-01,2888.0
2020-02-01,1745.0
2020-03-01,570.0
2020-04-01,575.0
2020-05-01,976.0
2020-06-01,4533.0
2020-07-01,1847.0
2020-08-01,1009.0
2020-09-01,5928.0
2020-10-01,756.0
2020-11-01,681.0
2020-12-01,1392.0
