ds,y
2017-01-01,811.0
2017-02-01,5236.0
2017-03-01,818.0
2017-04-01,1667.0
2017-05-01,11779.0
2017-06-01,410.0
2017-07-01,1039.0
2017-08-01,2580.0
2017-09-01,5304.0
2017-10-01,4266.0
2017-11-01,1356.0
2017-12-01,975.0
2018-01-01,2860.0
2018-02-01,1982.0
2018-03-01,3149.0
2018-04-01,3573.0
2018-05-01,1649.0
2018-06-01,890.0
2018-07-01,1736.0
2018-08-01,6022.0
2018-09-01,3972.0
2018-10-01,4976.0
2018-11-01,5871.0
2018-12-01,751.0
2019-01-01,378.0
2019-02-01,5906.0
2019-03-01,5867.0
2019-04-01,1053.0
2019-05-01,755.0
2019-06-01,847.0
2019-07-01,1158.0
2019-08-01,2898.0
2019-09-01,7350.0
2019-10-01,575.0
2019-11-01,1436.0
2019-12-01,2583.0
2020-01-01,1865.0
2020-02-01,633.0
2020-03-01,1108.0
2020-04-01,613.0
2020-05-01,1921.0
2020-06-01,334.0
2020-07-01,4379.0
2020-08-01,1198.0
2020-09-01,2268.0
2020-10-01,1819.0
2020-11-01,940.0
2020-12-01,7223.0
