ds,y
2017-01-01,1890.0
2017-02-01,2562.0
2017-03-01,2695.0
2017-04-01,3013.0
2017-05-01,3749.0
2017-06-01,633.0
2017-07-01,1142.0
2017-08-01,691.0
2017-09-01,1459.0
2017-10-01,804.0
2017-11-01,1542.0
2017-12-01,1440.0
2018-01-01,1251.0
2018-02-01,2134.0
2018-03-01,1873.0
2018-04-01,8806.0
2018-05-01,607.0
2018-06-01,7090.0
2018-07-01,2171.0
2018-08-01,1410.0
2018-09-01,5487.0
2018-10-01,1757.0
2018-11-01,3771.0
2018-12-01,2068.0
2019-01-01,2168.0
2019-02-01,1448.0
2019-03-01,1154.0
2019-04-01,1017.0
2019-05-01,1203.0
2019-06-01,1937.0
2019-07-01,1556.0
2019-08-01,21073.0
2019-09-01,1385.0
2019-10-01,2056.0
2019-11-01,4308.0
2019-12-01,1760.0
2020-01-01,7835.0
2020-02-01,3283.0
2020-03-01,2302.0
2020-04-01,510.0
2020-05-01,2018.0
2020-06-01,1477.0
2020-07-01,903.0
2020-08-01,898.0
2020-09-01,1209.0
2020-10-01,9804.0
2020-11-01,899.0
2020-12-01,6152.0
