ds,y
2017-01-01,946.0
2017-02-01,2842.0
2017-03-01,573.0
2017-04-01,1077.0
2017-05-01,1268.0
2017-06-01,2835.0
2017-07-01,1641.0
2017-08-01,1285.0
2017-09-01,1982.0
2017-10-01,887.0
2017-11-01,1281.0
2017-12-01,523.0
2018-01-01,409.0
2018-02-01,5203.0
2018-03-01,5788.0
2018-04-01,9732.0
2018-05-01,747.0
2018-06-01,7833.0
2018-07-01,2141.0
2018-08-01,1114.0
2018-09-01,842.0
2018-10-01,1850.0
2018-11-01,2080.0
2018-12-01,1552.0
2019-01-01,231.0
2019-02-01,3971.0
2019-03-01,1247.0
2019-04-01,2878.0
2019-05-01,9216.0
2019-06-01,1137.0
2019-07-01,2105.0
2019-08-01,29607.0
2019-09-01,1168.0
2019-10-01,3866.0
2019-11-01,123.0
2019-12-01,2204.0
2020-01-01,1659.0
2020-02-01,3263.0
2020-03-01,496.0
2020-04-01,616.0
2020-05-01,8551.0
2020-06-01,518.0
2020-07-01,792.0
2020-08-01,2788.0
2020-09-01,1364.0
2020-10-01,1561.0
2020-11-01,4762.0
2020-12-01,453.0
