ds,y
2017-01-01,10252.0
2017-02-01,2235.0
2017-03-01,2015.0
2017-04-01,4275.0
2017-05-01,1321.0
2017-06-01,2515.0
2017-07-01,751.0
2017-08-01,1196.0
2017-09-01,1175.0
2017-10-01,2072.0
2017-11-01,1542.0
2017-12-01,1258.0
2018-01-01,2353.0
2018-02-01,1311.0
2018-03-01,13468.0
2018-04-01,1740.0
2018-05-01,2095.0
2018-06-01,6983.0
2018-07-01,2902.0
2018-08-01,1623.0
2018-09-01,3560.0
2018-10-01,1196.0
2018-11-01,1657.0
2018-12-01,1786.0
2019-01-01,200.0
2019-02-01,1234.0
2019-03-01,959.0
2019-04-01,2298.0
2019-05-01,2149.0
2019-06-01,442.0
2019-07-01,555.0
2019-08-01,1256.0
2019-09-01,2594.0
2019-10-01,435.0
2019-11-01,1906.0
2019-12-01,1629.0
2020-01-01,4350.0
2020-02-01,2510.0
2020-03-01,2906.0
2020-04-01,2178.0
2020-05-01,1325.0
2020-06-01,921.0
2020-07-01,2828.0
2020-08-01,1489.0
2020-09-01,5060.0
2020-10-01,1239.0
2020-11-01,2704.0
2020-12-01,1857.0
