ds,y
2017-01-01,817.0
2017-02-01,5609.0
2017-03-01,478.0
2017-04-01,2425.0
2017-05-01,4326.0
2017-06-01,2691.0
2017-07-01,1509.0
2017-08-01,1352.0
2017-09-01,9867.0
2017-10-01,3366.0
2017-11-01,1589.0
2017-12-01,354.0
2018-01-01,640.0
2018-02-01,2196.0
2018-03-01,4256.0
2018-04-01,2520.0
2018-05-01,2600.0
2018-06-01,2579.0
2018-07-01,4517.0
2018-08-01,644.0
2018-09-01,1919.0
2018-10-01,2325.0
2018-11-01,2698.0
2018-12-01,1949.0
2019-01-01,346.0
2019-02-01,3312.0
2019-03-01,15451.0
2019-04-01,5668.0
2019-05-01,526.0
2019-06-01,557.0
2019-07-01,413.0
2019-08-01,2586.0
2019-09-01,571.0
2019-10-01,829.0
2019-11-01,322.0
2019-12-01,481.0
2020-01-01,2059.0
2020-02-01,1598.0
2020-03-01,-198.0
2020-04-01,1398.0
2020-05-01,895.0
2020-06-01,1811.0
2020-07-01,2121.0
2020-08-01,1801.0
2020-09-01,989.0
2020-10-01,1911.0
2020-11-01,5599.0
2020-12-01,4332.0
