ds,y
2017-01-01,1027.0
2017-02-01,890.0
2017-03-01,1646.0
2017-04-01,1489.0
2017-05-01,1312.0
2017-06-01,666.0
2017-07-01,1520.0
2017-08-01,1726.0
2017-09-01,5651.0
2017-10-01,2098.0
2017-11-01,1899.0
2017-12-01,1530.0
2018-01-01,5198.0
2018-02-01,1767.0
2018-03-01,4666.0
2018-04-01,841.0
2018-05-01,4431.0
2018-06-01,829.0
2018-07-01,1506.0
2018-08-01,1604.0
2018-09-01,1464.0
2018-10-01,1141.0
2018-11-01,1086.0
2018-12-01,1415.0
2019-01-01,303.0
2019-02-01,685.0
2019-03-01,739.0
2019-04-01,540.0
2019-05-01,1139.0
2019-06-01,1755.0
2019-07-01,2644.0
2019-08-01,3126.0
2019-09-01,2077.0
2019-10-01,755.0
2019-11-01,1406.0
2019-12-01,2461.0
2020-01-01,810.0
2020-02-01,4525.0
2020-03-01,1050.0
2020-04-01,672.0
2020-05-01,2265.0
2020-06-01,2038.0
2020-07-01,1102.0
2020-08-01,395.0
2020-09-01,5544.0
2020-10-01,2453.0
2020-11-01,2935.0
2020-12-01,570.0
