ds,y
2017-01-01,1903.0
2017-02-01,445.0
2017-03-01,2246.0
2017-04-01,551.0
2017-05-01,1471.0
2017-06-01,2162.0
2017-07-01,1602.0
2017-08-01,1646.0
2017-09-01,1322.0
2017-10-01,3339.0
2017-11-01,833.0
2017-12-01,1508.0
2018-01-01,15512.0
2018-02-01,2765.0
2018-03-01,1313.0
2018-04-01,952.0
2018-05-01,1044.0
2018-06-01,10765.0
2018-07-01,3269.0
2018-08-01,4054.0
2018-09-01,2329.0
2018-10-01,5610.0
2018-11-01,878.0
2018-12-01,817.0
2019-01-01,616.0
2019-02-01,767.0
2019-03-01,782.0
2019-04-01,935.0
2019-05-01,1359.0
2019-06-01,829.0
2019-07-01,3351.0
2019-08-01,12565.0
2019-09-01,7590.0
2019-10-01,1079.0
2019-11-01,11171.0
2019-12-01,964.0
2020-01-01,233.0
2020-02-01,4922.0
2020-03-01,1078.0
2020-04-01,930.0
2020-05-01,987.0
2020-06-01,1542.0
2020-07-01,5606.0
2020-08-01,719.0
2020-09-01,1456.0
2020-10-01,164.0
2020-11-01,2062.0
2020-12-01,3012.0
