ds,y
2017-01-01,1729.0
2017-02-01,4864.0
2017-03-01,2653.0
2017-04-01,208.0
2017-05-01,2350.0
2017-06-01,2349.0
2017-07-01,930.0
2017-08-01,1122.0
2017-09-01,3625.0
2017-10-01,5048.0
2017-11-01,876.0
2017-12-01,318.0
2018-01-01,576.0
2018-02-01,960.0
2018-03-01,2006.0
2018-04-01,867.0
2018-05-01,1838.0
2018-06-01,3966.0
2018-07-01,898.0
2018-08-01,1205.0
2018-09-01,2801.0
2018-10-01,2400.0
2018-11-01,1779.0
2018-12-01,759.0
2019-01-01,415.0
2019-02-01,1936.0
2019-03-01,1768.0
2019-04-01,1814.0
2019-05-01,720.0
2019-06-01,1109.0
2019-07-01,1269.0
2019-08-01,1310.0
2019-09-01,364.0
2019-10-01,722.0
2019-11-01,2241.0
2019-12-01,966.0
2020-01-01,803.0
2020-02-01,1090.0
2020-03-01,4436.0
2020-04-01,1205.0
2020-05-01,324.0
2020-06-01,881.0
2020-07-01,4126.0
2020-08-01,4493.0
2020-09-01,2282.0
2020-10-01,970.0
2020-11-01,1545.0
2020-12-01,1369.0
