ds,y
2017-01-01,4135.0
2017-02-01,1668.0
2017-03-01,1500.0
2017-04-01,1449.0
2017-05-01,2594.0
2017-06-01,110.0
2017-07-01,1237.0
2017-08-01,1347.0
2017-09-01,1321.0
2017-10-01,1904.0
2017-11-01,1289.0
2017-12-01,876.0
2018-01-01,1645.0
2018-02-01,9360.0
2018-03-01,2504.0
2018-04-01,1045.0
2018-05-01,825.0
2018-06-01,1331.0
2018-07-01,2058.0
2018-08-01,551.0
2018-09-01,765.0
2018-10-01,2010.0
2018-11-01,957.0
2018-12-01,1686.0
2019-01-01,3054.0
2019-02-01,1623.0
2019-03-01,1734.0
2019-04-01,1034.0
2019-05-01,1066.0
2019-06-01,1453.0
2019-07-01,1386.0
2019-08-01,2821.0
2019-09-01,1267.0
2019-10-01,2700.0
2019-11-01,740.0
2019-12-01,2148.0
2020-01-01,977.0
2020-02-01,4901.0
2020-03-01,582.0
2020-04-01,3542.0
2020-05-01,3306.0
2020-06-01,1510.0
2020-07-01,3260.0
2020-08-01,1379.0
2020-09-01,4469.0
2020-10-01,1047.0
2020-11-01,593.0
2020-12-01,1045.0
