ds,y
2017-01-01,605.0
2017-02-01,4605.0
2017-03-01,2216.0
2017-04-01,2519.0
2017-05-01,1107.0
2017-06-01,689.0
2017-07-01,1577.0
2017-08-01,2227.0
2017-09-01,2579.0
2017-10-01,2022.0
2017-11-01,835.0
2017-12-01,609.0
2018-01-01,1140.0
2018-02-01,1250.0
2018-03-01,2085.0
2018-04-01,4042.0
2018-05-01,1489.0
2018-06-01,1028.0
2018-07-01,2176.0
2018-08-01,1738.0
2018-09-01,1419.0
2018-10-01,2866.0
2018-11-01,1853.0
2018-12-01,1563.0
2019-01-01,584.0
2019-02-01,991.0
2019-03-01,3377.0
2019-04-01,1380.0
2019-05-01,2487.0
2019-06-01,1858.0
2019-07-01,522.0
2019-08-01,2110.0
2019-09-01,910.0
2019-10-01,902.0
2019-11-01,2695.0
2019-12-01,1111.0
2020-01-01,414.0
2020-02-01,571.0
2020-03-01,1661.0
2020-04-01,572.0
2020-05-01,6671.0
2020-06-01,1550.0
2020-07-01,2543.0
2020-08-01,3066.0
2020-09-01,1799.0
2020-10-01,751.0
2020-11-01,1758.0
2020-12-01,6028.0
