ds,y
2017-01-01,337.0
2017-02-01,93.0
2017-03-01,2632.0
2017-04-01,1688.0
2017-05-01,4521.0
2017-06-01,3156.0
2017-07-01,3196.0
2017-08-01,2348.0
2017-09-01,1067.0
2017-10-01,1467.0
2017-11-01,2072.0
2017-12-01,1107.0
2018-01-01,1612.0
2018-02-01,2083.0
2018-03-01,748.0
2018-04-01,542.0
2018-05-01,1329.0
2018-06-01,2447.0
2018-07-01,3100.0
2018-08-01,1311.0
2018-09-01,3855.0
2018-10-01,2277.0
2018-11-01,2812.0
2018-12-01,789.0
2019-01-01,1256.0
2019-02-01,7614.0
2019-03-01,2698.0
2019-04-01,1132.0
2019-05-01,5795.0
2019-06-01,3788.0
2019-07-01,1543.0
2019-08-01,2268.0
2019-09-01,618.0
2019-10-01,1878.0
2019-11-01,1373.0
2019-12-01,1533.0
2020-01-01,5897.0
2020-02-01,5197.0
2020-03-01,5263.0
2020-04-01,1396.0
2020-05-01,1697.0
2020-06-01,1367.0
2020-07-01,807.0
2020-08-01,2192.0
2020-09-01,5206.0
2020-10-01,2301.0
2020-11-01,1138.0
2020-12-01,2284.0
